,name,maxAgentDensity,oxygenDiffusivity,vegfDiffusivity,G1,S,G2,M,endothelialDivisionDelay,minimumVegfConcentration,baseOxygenEmissionRate,minHIF,maxHIF,ultraHypoxicThreshold,hypoxicThreshold,minPSynthesis,minimumOxygenConcentration,baseHifRate,numCancerCells,numEndothelialCells,glucoseDiffusivity,glucoseSecretionRate,minGlucoseUptakeRate,maxGlucoseUptakeRate,pWarburgSwitch,enhancedHypoxicThreshold,minGlucoseWarburg,baseOxygenMetabolicRate,minGlucoseNonWarburg,healthyTissueOxygenUptakeRate,dt,diffusionSolveIterations,envSize
1217,experiments_011019_hyp_testing_full_pws_0.2_moc_12_17,70,0.424093261,0.0001,7,2,10,1,10,4.1635608004,40,0,16,3,20,0.5381698993,12,1,17,1,0.0010921906,190,10,20.9897138065,0.2,75,12.877772656300001,25,5.5149646700999995,25,4500,10,20
1218,experiments_011019_hyp_testing_full_pws_0.2_moc_12_18,70,0.32570826329999997,0.0001,7,2,10,1,10,5.3817090339,40,0,16,3,20,0.6358690034000001,12,1,16,1,0.0019902497,190,10,22.302230116300002,0.2,75,15.553120356300001,25,4.7528137104,25,4500,10,20
1219,experiments_011019_hyp_testing_full_pws_0.2_moc_12_19,70,0.315279985,0.0001,7,2,10,1,10,4.1884974801,40,0,16,3,20,0.5135619064,12,1,12,1,0.00036663989999999997,190,10,22.573114731599997,0.2,75,16.7623849182,25,3.9300858575,25,4500,10,20
1220,experiments_011019_hyp_testing_full_pws_0.2_moc_12_20,70,0.21089714920000002,0.0001,7,2,10,1,10,6.4936510614,40,0,16,3,20,1.0,12,1,11,1,0.0007147397000000001,190,10,15.8765208742,0.2,75,13.8575015184,25,4.1923382339,25,4500,10,20
1221,experiments_011019_hyp_testing_full_pws_0.2_moc_12_21,70,0.21039043010000003,0.0001,7,2,10,1,10,5.481485321799999,40,0,16,3,20,0.5665495639,12,1,18,1,0.0015765437,190,10,16.5692058494,0.2,75,15.836497731400001,25,3.0133495402999997,25,4500,10,20
1222,experiments_011019_hyp_testing_full_pws_0.2_moc_12_22,70,0.4820707358,0.0001,7,2,10,1,10,5.0433579549,40,0,16,3,20,0.6577060699,12,1,16,1,0.0015423645,190,10,24.9331456021,0.2,75,15.736764598099999,25,8.1257622954,25,4500,10,20
1223,experiments_011019_hyp_testing_full_pws_0.2_moc_12_23,70,0.3684609389,0.0001,7,2,10,1,10,3.5996418175,40,0,16,3,20,0.0828423736,12,1,14,1,0.0008896071000000001,190,10,19.4849586904,0.2,75,11.2353218321,25,4.4105077032999995,25,4500,10,20
1224,experiments_011019_hyp_testing_full_pws_0.2_moc_12_24,70,0.29234240699999997,0.0001,7,2,10,1,10,5.2709096587,40,0,16,3,20,0.4585430008,12,1,10,1,0.0012678653999999999,190,10,17.6925500316,0.2,75,12.266635615,25,1.8114460290999999,25,4500,10,20
1225,experiments_011019_hyp_testing_full_pws_0.2_moc_12_25,70,0.4554324754,0.0001,7,2,10,1,10,3.5722337526,40,0,16,3,20,0.619725553,12,1,14,1,0.0001426728,190,10,21.644513315100003,0.2,75,16.5733337261,25,4.0179266705000005,25,4500,10,20
1226,experiments_011019_hyp_testing_full_pws_0.2_moc_12_26,70,0.17136911920000003,0.0001,7,2,10,1,10,3.2575370448000003,40,0,16,3,20,0.5505284553,12,1,12,1,0.0014905501,190,10,18.897762203699997,0.2,75,17.7074719623,25,5.1272706479000005,25,4500,10,20
