name,maxAgentDensity,oxygenDiffusivity,vegfDiffusivity,G1,S,G2,M,endothelialDivisionDelay,minimumVegfConcentration,baseOxygenEmissionRate,minHIF,maxHIF,ultraHypoxicThreshold,hypoxicThreshold,minPSynthesis,minimumOxygenConcentration,baseHifRate,numCancerCells,numEndothelialCells,glucoseDiffusivity,glucoseSecretionRate,minGlucoseUptakeRate,maxGlucoseUptakeRate,pWarburgSwitch,enhancedHypoxicThreshold,minGlucoseWarburg,baseOxygenMetabolicRate,minGlucoseNonWarburg,healthyTissueOxygenUptakeRate,dt,diffusionSolveIterations,envSize
experiments_011019_hyp_testing_full_pws_0.05_moc_12_21,70,0.2103904301,0.0001,7,2,10,1,10,5.4814853218,40,0,16,3,20,0.5665495639,12,1,18,1,0.0015765437,190,10,16.5692058494,0.05,75,15.8364977314,25,3.0133495403,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_22,70,0.4820707358,0.0001,7,2,10,1,10,5.0433579549,40,0,16,3,20,0.6577060699,12,1,16,1,0.0015423645,190,10,24.9331456021,0.05,75,15.7367645981,25,8.1257622954,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_23,70,0.3684609389,0.0001,7,2,10,1,10,3.5996418175,40,0,16,3,20,0.0828423736,12,1,14,1,0.0008896071,190,10,19.4849586904,0.05,75,11.2353218321,25,4.4105077033,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_24,70,0.292342407,0.0001,7,2,10,1,10,5.2709096587,40,0,16,3,20,0.4585430008,12,1,10,1,0.0012678654,190,10,17.6925500316,0.05,75,12.266635615,25,1.8114460291,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_25,70,0.4554324754,0.0001,7,2,10,1,10,3.5722337526,40,0,16,3,20,0.619725553,12,1,14,1,0.0001426728,190,10,21.6445133151,0.05,75,16.5733337261,25,4.0179266705,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_26,70,0.1713691192,0.0001,7,2,10,1,10,3.2575370448,40,0,16,3,20,0.5505284553,12,1,12,1,0.0014905501,190,10,18.8977622037,0.05,75,17.7074719623,25,5.1272706479,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_27,70,0.2140343577,0.0001,7,2,10,1,10,3.9273676872,40,0,16,3,20,0.4540827937,12,1,15,1,0.0003459182,190,10,16.3041010746,0.05,75,13.5616957907,25,3.6596008158,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_28,70,0.4966839509,0.0001,7,2,10,1,10,5.4982648273,40,0,16,3,20,0.6435717905,12,1,13,1,0.0013678492,190,10,21.8577842658,0.05,75,14.4177027005,25,8.7039880677,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_29,70,0.3802327353,0.0001,7,2,10,1,10,5.8572607447,40,0,16,3,20,0.3907535427,12,1,14,1,0.0009970171,190,10,20.2775891886,0.05,75,11.6651993491,25,3.4642305593,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_30,70,0.2283780617,0.0001,7,2,10,1,10,5.3604542465,40,0,16,3,20,0.5200014988,12,1,13,1,0.0013245964,190,10,18.7887144235,0.05,75,16.7852274192,25,4.7482330613,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_31,70,0.1760764192,0.0001,7,2,10,1,10,6.144258153,40,0,16,3,20,0.797549182,12,1,15,1,0.0012906876,190,10,19.5277643955,0.05,75,13.5481874727,25,5.7281168268,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_32,70,0.2282721423,0.0001,7,2,10,1,10,6.0452512386,40,0,16,3,20,0.7925409277,12,1,12,1,5.03587542598077E-05,190,10,21.6992457358,0.05,75,19.0459290619,25,3.415513552,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_33,70,0.2445948299,0.0001,7,2,10,1,10,6.9353374608,40,0,16,3,20,0.0624342639,12,1,15,1,0.0010551265,190,10,15.0546892764,0.05,75,14.6824893411,25,9.251969095,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_34,70,0.3428162142,0.0001,7,2,10,1,10,5.2956929897,40,0,16,3,20,0.4568552946,12,1,15,1,0.0004894211,190,10,19.9350824475,0.05,75,17.0221207395,25,10.4971474781,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_35,70,0.3187709543,0.0001,7,2,10,1,10,4.1971112339,40,0,16,3,20,0.4129063473,12,1,14,1,0.0008726969,190,10,19.274808398,0.05,75,16.7772046664,25,2.1733044931,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_36,70,0.1823418835,0.0001,7,2,10,1,10,5.0311109573,40,0,16,3,20,0.3247234175,12,1,14,1,1.39952906828872E-05,190,10,16.4708814492,0.05,75,15.6566528904,25,1.2067043885,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_37,70,0.26718503,0.0001,7,2,10,1,10,6.5674278246,40,0,16,3,20,0.2938787984,12,1,13,1,0.0014748986,190,10,20.0038182816,0.05,75,10.5111987714,25,4.1405947818,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_38,70,0.2638977495,0.0001,7,2,10,1,10,4.5530533035,40,0,16,3,20,0.6358098109,12,1,14,1,0.0007668626,190,10,18.2228461749,0.05,75,16.4181070866,25,11.7776918386,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_39,70,0.2966853674,0.0001,7,2,10,1,10,3.9605836287,40,0,16,3,20,0.8095921006,12,1,15,1,0.0008643484,190,10,17.9794157644,0.05,75,14.1314379404,25,3.4756807113,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_40,70,0.1399572391,0.0001,7,2,10,1,10,5.1390228073,40,0,16,3,20,0.5259282641,12,1,15,1,0.0014032384,190,10,22.061976912,0.05,75,14.9219049855,25,9.6183338855,25,4500,10,20
experiments_011019_hyp_testing_full_pws_0.05_moc_12_41,70,0.3297642122,0.0001,7,2,10,1,10,4.3921202298,40,0,16,3,20,0.6594589727,12,1,11,1,0.0012081746,190,10,22.4210882525,0.05,75,17.2590822463,25,7.8466605857,25,4500,10,20
